Code,Area,Category,Count_of_rents,Average,Lower quartile,Median,Upper quartile
E09000001,City of London,One Bedroom,40,2083,1733,1950,2383
E09000002,Barking and Dagenham,One Bedroom,210,965,875,950,1050
E09000003,Barnet,One Bedroom,620,1147,1049,1150,1250
E09000004,Bexley,One Bedroom,150,821,750,825,900
E09000005,Brent,One Bedroom,400,1241,1100,1250,1352
E09000006,Bromley,One Bedroom,550,972,900,950,1050
E09000007,Camden,One Bedroom,1160,1659,1473,1625,1798
E09000008,Croydon,One Bedroom,700,931,850,900,999
E09000009,Ealing,One Bedroom,590,1216,1100,1200,1300
E09000010,Enfield,One Bedroom,200,1083,1000,1050,1163
E09000011,Greenwich,One Bedroom,300,1155,925,1150,1350
E09000012,Hackney,One Bedroom,480,1523,1300,1473,1699
E09000013,Hammersmith and Fulham,One Bedroom,750,1454,1300,1408,1538
E09000014,Haringey,One Bedroom,410,1259,1150,1266,1350
E09000015,Harrow,One Bedroom,420,1093,960,1096,1200
E09000016,Havering,One Bedroom,220,889,800,875,950
E09000017,Hillingdon,One Bedroom,430,1018,900,1000,1100
E09000018,Hounslow,One Bedroom,480,1153,995,1100,1300
E09000019,Islington,One Bedroom,940,1558,1350,1500,1712
E09000020,Kensington and Chelsea,One Bedroom,670,2062,1690,1950,2275
E09000021,Kingston upon Thames,One Bedroom,120,1123,1050,1100,1200
E09000022,Lambeth,One Bedroom,590,1370,1175,1300,1500
E09000023,Lewisham,One Bedroom,590,1130,998,1100,1278
E09000024,Merton,One Bedroom,410,1220,1100,1225,1325
E09000025,Newham,One Bedroom,510,1202,1070,1200,1325
E09000026,Redbridge,One Bedroom,410,1006,900,1000,1100
E09000027,Richmond upon Thames,One Bedroom,440,1242,1085,1224,1383
E09000028,Southwark,One Bedroom,1000,1419,1200,1300,1560
E09000029,Sutton,One Bedroom,340,920,875,925,950
E09000030,Tower Hamlets,One Bedroom,960,1494,1300,1430,1603
E09000031,Waltham Forest,One Bedroom,460,1089,996,1075,1178
E09000032,Wandsworth,One Bedroom,1060,1388,1250,1379,1500
E09000033,Westminster,One Bedroom,1120,2016,1600,1842,2253
